page_slug,category_raw,occurrence,correct_category,note
the-christmas-run-2017-klasirane,5.5КМ,2,5.5КМ Жени,"audit 2026-08-22, 11 rows, file was the-christmas-run-2017-klasirane__55км-2.json"
the-christmas-run18-ranking,15KM,2,15KM Жени,"audit 2026-08-22, 12 rows, file was the-christmas-run18-ranking__15km-2.json"
the-christmas-run18-ranking,11KM,2,11KM Жени,"audit 2026-08-22, 13 rows, file was the-christmas-run18-ranking__11km-mixed-2.json"
the-christmas-run18-ranking,5.5KM,2,5.5KM Жени,"audit 2026-08-22, 16 rows, file was the-christmas-run18-ranking__5.5km-mixed-2.json"
the-christmas-run21-results,,1,2 Laps Мъже,"audit 2026-08-22, 40 rows, file was the-christmas-run21-results__all.json"
the-christmas-run21-results,,2,2 Laps Жени,"audit 2026-08-22, 13 rows, file was the-christmas-run21-results__all-2.json"
the-christmas-run21-results,,3,1 Lap Мъже,"audit 2026-08-22, 34 rows, file was the-christmas-run21-results__all-3.json"
the-christmas-run21-results,,4,1 Lap Жени,"audit 2026-08-22, 18 rows, file was the-christmas-run21-results__all-4.json"
the-christmas-run21-results,,5,5KM Мъже,"audit 2026-08-22, 27 rows, file was the-christmas-run21-results__all-5.json"
the-christmas-run21-results,,6,5KM Жени,"audit 2026-08-22, 20 rows, file was the-christmas-run21-results__all-6.json"
the-christmas-run24-results,15КМ ЖЕНИ,2,11КМ Мъже,"audit 2026-08-22, 31 rows, file was the-christmas-run24-results__15km-f-2.json"
vladaya-21-april,Мъже,1,6.3КМ Мъже,"audit 2026-08-22, 29 rows, file was vladaya-21-april__мъже.json"
vladaya-21-april,Мъже,2,12.6КМ Мъже,"audit 2026-08-22, 25 rows, file was vladaya-21-april__мъже-2.json"
zheleznitsa-2-0-20-jan,Жени,1,5.4КМ Жени,"audit 2026-08-22, 12 rows, file was zheleznitsa-2-0-20-jan__жени.json"
zheleznitsa-2-0-20-jan,Жени,2,13КМ Жени,"audit 2026-08-22, 14 rows, file was zheleznitsa-2-0-20-jan__жени-2.json"
zheleznitsa-2-0-20-jan,Мъже,1,5.4КМ Мъже,"audit 2026-08-22, 33 rows, file was zheleznitsa-2-0-20-jan__мъже.json"
zheleznitsa-2-0-20-jan,Мъже,2,13КМ Мъже,"audit 2026-08-22, 49 rows, file was zheleznitsa-2-0-20-jan__мъже-2.json"
